0001世代:【1位】1.386点,1.323[m] 【2位】1.281点,1.227[m]
0002世代:【1位】1.465点,1.425[m] 【2位】1.386点,1.323[m]
0003世代:【1位】1.465点,1.425[m] 【2位】1.346点,1.310[m]
0004世代:【1位】1.556点,1.487[m] 【2位】1.500点,1.455[m]
0005世代:【1位】1.560点,1.501[m] 【2位】1.448点,1.409[m]
0006世代:【1位】1.680点,1.499[m] 【2位】1.560点,1.501[m]
0007世代:【1位】1.751点,1.677[m] 【2位】1.681点,1.357[m]
0008世代:【1位】1.836点,1.726[m] 【2位】1.754点,1.567[m]
0009世代:【1位】1.836点,1.726[m] 【2位】1.730点,1.680[m]
0010世代:【1位】1.836点,1.726[m] 【2位】1.675点,1.470[m]
0011世代:【1位】1.836点,1.726[m] 【2位】1.502点,1.321[m]
0012世代:【1位】1.836点,1.726[m] 【2位】1.480点,1.430[m]
0013世代:【1位】1.849点,1.728[m] 【2位】1.836点,1.726[m]
0014世代:【1位】1.849点,1.728[m] 【2位】1.633点,1.587[m]
0015世代:【1位】1.849点,1.728[m] 【2位】1.657点,1.618[m]
0016世代:【1位】1.849点,1.728[m] 【2位】1.715点,1.654[m]
0017世代:【1位】1.849点,1.728[m] 【2位】1.700点,1.639[m]
0018世代:【1位】1.849点,1.728[m] 【2位】1.556点,1.485[m]
0019世代:【1位】1.849点,1.728[m] 【2位】1.599点,1.534[m]
0020世代:【1位】1.849点,1.728[m] 【2位】1.664点,1.623[m]
0021世代:【1位】1.849点,1.728[m] 【2位】1.676点,1.627[m]
0022世代:【1位】1.849点,1.728[m] 【2位】1.578点,1.532[m]
0023世代:【1位】1.849点,1.728[m] 【2位】1.817点,1.691[m]
0024世代:【1位】1.849点,1.728[m] 【2位】1.809点,1.757[m]
0025世代:【1位】1.849点,1.728[m] 【2位】1.666点,1.605[m]
0026世代:【1位】1.849点,1.728[m] 【2位】1.537点,1.473[m]
0027世代:【1位】1.849点,1.728[m] 【2位】1.740点,1.691[m]
0028世代:【1位】1.849点,1.728[m] 【2位】1.612点,1.324[m]
0029世代:【1位】1.849点,1.728[m] 【2位】1.600点,1.467[m]
0030世代:【1位】1.849点,1.728[m] 【2位】1.567点,1.523[m]
0031世代:【1位】1.849点,1.728[m] 【2位】1.747点,1.570[m]
0032世代:【1位】1.849点,1.728[m] 【2位】1.615点,1.565[m]
0033世代:【1位】1.849点,1.728[m] 【2位】1.617点,1.549[m]
0034世代:【1位】1.849点,1.728[m] 【2位】1.639点,1.580[m]
0035世代:【1位】1.849点,1.728[m] 【2位】1.540点,1.486[m]
0036世代:【1位】1.849点,1.728[m] 【2位】1.559点,1.504[m]
0037世代:【1位】1.849点,1.728[m] 【2位】1.624点,1.581[m]
0038世代:【1位】1.849点,1.728[m] 【2位】1.518点,1.465[m]
0039世代:【1位】1.849点,1.728[m] 【2位】1.674点,1.615[m]
0040世代:【1位】1.849点,1.728[m] 【2位】1.723点,1.663[m]
